Date,IBM,CSCO,AAPL,MSFT,ORCL,INTC,TXN,QCOM,AMAT,ADBE,y10_real
2001-05-31,55.00254821777344,12.395042419433594,0.2986058294773102,21.03582763671875,12.190375328063965,15.3814058303833,20.719562530517578,18.624000549316406,18.03934097290039,19.768775939941406,
2001-06-01,55.53881072998047,12.131181716918945,0.31267574429512024,21.388559341430664,12.63655948638916,16.36658477783203,20.798511505126953,18.884613037109375,18.54153060913086,20.171411514282227,
2001-06-04,55.90778350830078,12.697515487670898,0.30923330783843994,21.5223445892334,12.79591178894043,16.229915618896484,20.798511505126953,18.9919376373291,18.086299896240234,20.047138214111328,
2001-06-05,57.546058654785156,13.862371444702148,0.31342431902885437,22.075759887695312,13.353646278381348,16.930370330810547,21.855133056640625,19.476394653320312,18.971464157104492,20.71819496154785,
2001-06-06,57.80677795410156,13.36038875579834,0.3102811276912689,22.002796173095703,13.54486083984375,16.98162078857422,21.563661575317383,19.15750503540039,19.025665283203125,20.31555938720703,
2001-06-07,57.68378829956055,14.042572975158691,0.324200838804245,22.40416145324707,13.807793617248535,17.733320236206055,23.919801712036133,19.930185317993164,20.239604949951172,21.299776077270508,
2001-06-08,57.118038177490234,13.186628341674805,0.3191114664077759,22.255165100097656,13.552833557128906,17.465665817260742,23.11821746826172,18.777301788330078,19.9686336517334,20.89217185974121,
2001-06-11,57.73792266845703,13.115838050842285,0.29995283484458923,21.9298095703125,12.899492263793945,17.272050857543945,22.353078842163086,18.32962989807129,19.37250518798828,21.02141571044922,
2001-06-12,57.68378829956055,13.109396934509277,0.3039945960044861,21.917646408081055,12.859654426574707,17.158161163330078,21.19322967529297,17.774660110473633,19.690444946289062,20.469654083251953,
2001-06-13,57.334510803222656,12.240588188171387,0.3063892722129822,21.494976043701172,12.349729537963867,16.5488224029541,20.65884017944336,16.624845504760742,19.42670249938965,19.972579956054688,
2001-06-14,56.945838928222656,11.416829109191895,0.2975582480430603,20.950695037841797,11.831839561462402,15.72309684753418,19.134634017944336,15.790837287902832,18.425922393798828,19.391000747680664,
2001-06-15,55.88809585571289,10.715343475341797,0.3059399724006653,20.683109283447266,11.9513521194458,15.762959480285645,19.517196655273438,15.131608009338379,18.032115936279297,19.664396286010742,
2001-06-18,56.217735290527344,10.618809700012207,0.30429384112358093,20.336467742919922,11.823867797851562,15.68891716003418,18.90386962890625,15.343180656433105,17.826173782348633,20.151527404785156,
2001-06-19,56.49815368652344,10.708905220031738,0.30219829082489014,20.470252990722656,13.353646278381348,15.187784194946289,17.974769592285156,15.425957679748535,17.45404624938965,21.25006675720215,
