,cpi,price_index,oil_price,ppi,hour_earnings
1934-05-01,,,,0.0,
1934-06-01,,,,0.01562531790308075,
1934-07-01,,,,0.0,
1934-08-01,,,,0.022989518224698635,
1934-09-01,,,,0.015037877364540542,
1934-10-01,,,,-0.015037877364540542,
1934-11-01,,,,0.0,
1934-12-01,,,,0.007547205635383136,
1935-01-01,,,,0.022305757514298197,
1935-02-01,,,,0.0073260400920727164,
1935-03-01,,,,0.0,
1935-04-01,,,,0.007272759329080003,
1935-05-01,,,,0.0,
1935-06-01,,,,0.0,
1935-07-01,,,,-0.007272759329080003,
1935-08-01,,,,0.014493007302566863,
1935-09-01,,,,0.0,
1935-10-01,,,,0.0,
1935-11-01,,,,0.0,
1935-12-01,,,,0.007168489478612372,
1936-01-01,,,,-0.007168489478612372,
1936-02-01,,,,0.0,
1936-03-01,,,,-0.014493007302566863,
1936-04-01,,,,0.0,
1936-05-01,,,,-0.014706147389695445,
1936-06-01,,,,0.014706147389695445,
1936-07-01,,,,0.014493007302566863,
1936-08-01,,,,0.007168489478612372,
1936-09-01,,,,0.0,
1936-10-01,,,,0.0,
1936-11-01,,,,0.014184634991956546,
1936-12-01,,,,0.020906684819313792,
1937-01-01,,,,0.020478531343540496,
1937-02-01,,,,0.006734032181344052,
1937-03-01,,,,0.013333530869465537,
1937-04-01,,,,0.006600684031351722,
1937-05-01,,,,-0.006600684031351722,
1937-06-01,,,,-0.006644542718668767,
1937-07-01,,,,0.013245226750020489,
1937-08-01,,,,-0.006600684031351722,
1937-09-01,,,,0.0,
1937-10-01,,,,-0.026847250036188264,
1937-11-01,,,,-0.02061928720273576,
1937-12-01,,,,-0.021053409197832273,
1938-01-01,,,,-0.0071174677688641275,
1938-02-01,,,,-0.014388737452099232,
1938-03-01,,,,-0.007272759329080003,
1938-04-01,,,,-0.014706147389695445,
1938-05-01,,,,0.0,
1938-06-01,,,,0.0,
1938-07-01,,,,0.007380107297622729,
1938-08-01,,,,-0.014815085785140791,
1938-09-01,,,,0.0074349784875180625,
1938-10-01,,,,-0.0074349784875180625,
1938-11-01,,,,0.0,
1938-12-01,,,,-0.007490671729157405,
1939-01-01,,,,0.0,
1939-02-01,,,,0.0,
1939-03-01,,,,-0.007547205635383136,
1939-04-01,,,,-0.007604599385219402,
1939-05-01,,,,0.0,
1939-06-01,,,,-0.007662872745568983,
1939-07-01,,,,0.0,
1939-08-01,,,,-0.007722046093910251,
1939-09-01,,,,0.05284248137437997,
1939-10-01,,,,0.0073260400920727164,
1939-11-01,,,,-0.0073260400920727164,
1939-12-01,,,,0.0073260400920727164,
1940-01-01,,,,0.0,
1940-02-01,,,,-0.0073260400920727164,
1940-03-01,,,,-0.007380107297622729,
1940-04-01,,,,0.0,
1940-05-01,,,,0.0,
1940-06-01,,,,-0.0074349784875180625,
1940-07-01,,,,0.0,
1940-08-01,,,,0.0,
1940-09-01,,,,0.0,
1940-10-01,,,,0.014815085785140791,
1940-11-01,,,,0.0073260400920727164,
1940-12-01,,,,0.007272759329080003,
1941-01-01,,,,0.00722024797348686,
1941-02-01,,,,0.0,
1941-03-01,,,,0.007168489478612372,
1941-04-01,,,,0.0281708769666964,
1941-05-01,,,,0.013793322132336083,
1941-06-01,,,,0.027028672387919173,
1941-07-01,,,,0.019802627296179764,
1941-08-01,,,,0.019418085857101364,
1941-09-01,,,,0.012739025777429802,
1941-10-01,,,,0.006309169193265074,
1941-11-01,,,,0.0,
1941-12-01,,,,0.018692133012152112,
1942-01-01,,,,0.018349138668196652,
1942-02-01,,,,0.012048338516174706,
1942-03-01,,,,0.0059701669865037665,
1942-04-01,,,,0.01183445764700286,
1942-05-01,,,,0.0,
1942-06-01,,,,0.0,
1942-07-01,,,,0.0,
1942-08-01,,,,0.005865119452398204,
1942-09-01,,,,0.005830920310792909,
1942-10-01,,,,0.0,
1942-11-01,,,,0.005797117684326114,
1942-12-01,,,,0.005763704716749807,
1943-01-01,,,,0.005730674708985362,
1943-02-01,,,,0.011363758650314804,
1943-03-01,,,,0.005633817718256218,
1943-04-01,,,,0.005602255548669444,
1943-05-01,,,,0.0,
1943-06-01,,,,0.0,
1943-07-01,,,,-0.005602255548669444,
1943-08-01,,,,0.0,
1943-09-01,,,,0.0,
1943-10-01,,,,0.0,
1943-11-01,,,,-0.005633817718256218,
1943-12-01,,,,0.005633817718256218,
1944-01-01,,,,0.0,
1944-02-01,,,,0.0,
1944-03-01,,,,0.005602255548669444,
1944-04-01,,,,0.0,
1944-05-01,,,,0.0,
1944-06-01,,,,0.005571045049455492,
1944-07-01,,,,-0.005571045049455492,
1944-08-01,,,,0.0,
1944-09-01,,,,0.0,
1944-10-01,,,,0.0,
1944-11-01,,,,0.005571045049455492,
1944-12-01,,,,0.0,
1945-01-01,,,,0.005540180375615655,
1945-02-01,,,,0.0,
1945-03-01,,,,0.0,
1945-04-01,,,,0.005509655810969516,
1945-05-01,,,,0.005479465764625768,
1945-06-01,,,,0.0,
1945-07-01,,,,0.0,
1945-08-01,,,,-0.005479465764625768,
1945-09-01,,,,-0.005509655810969516,
1945-10-01,,,,0.005509655810969516,
1945-11-01,,,,0.010929070532190277,
1945-12-01,,,,0.0,
1946-01-01,,,,0.0,
1946-02-01,,,,0.005420067469338985,
1946-03-01,,,,0.01608613775162482,
1946-04-01,,,,0.010582109330536493,
1946-05-01,,,,0.005249355886144169,
1946-06-01,,,,0.015584731016697884,
1946-07-01,,,,0.10277986906433467,
1946-08-01,,,,0.03203935374461686,
1946-09-01,,,,-0.03670136685042813,
1946-10-01,,,,0.07644169549994206,
1946-11-01,,,,0.04237922296886154,
1946-12-01,,,,0.008264509849893464,
1947-01-01,,,,0.008196767204178723,
1947-02-01,0.006496542570398223,,,0.008130126083250033,
1947-03-01,0.01742364114725392,,,0.0240011520995429,
1947-04-01,0.0,,,-0.007936549595735976,
1947-05-01,-0.0022753138371358617,,,-0.003992021269537904,
1947-06-01,0.005905081887714214,,,0.0,
1947-07-01,0.006770506567210788,,,0.01192857086527388,
1947-08-01,0.007618230884888888,,,0.01178795575204239,
1947-09-01,0.019452425926815398,,,0.019342962843130973,
1947-10-01,0.00306011167759479,,,0.011428695823622714,
1947-11-01,0.006526018375508702,,,0.011299555253933224,
1947-12-01,0.015063766661906453,,,0.018553407895747664,
1948-01-01,0.011467528512985492,,,0.018215439891341223,
1948-02-01,-0.00042238648991244077,,,-0.018215439891341223,
1948-03-01,-0.00720800237577901,,,0.0,
1948-04-01,0.013525142777040422,,,0.0073260400920731605,
1948-05-01,0.007944846306008113,,,0.0036429912785012064,
1948-06-01,0.005813969865419821,,,0.007246408520766856,
1948-07-01,0.010298752200574413,,,0.010772096981911172,
1948-08-01,0.0012287529704928524,,,0.0071174677688641275,
1948-09-01,-0.0028694424279529507,,,-0.003552401604367983,
1948-10-01,-0.002054654513664378,,,-0.010733555643108517,
1948-11-01,-0.006189415261417697,,,0.0,
1948-12-01,-0.004563376514843842,,,-0.00722024797348686,
1949-01-01,-0.0016645863186082188,,,-0.010929070532190277,
1949-02-01,-0.004173628762928594,,,-0.018484814674103234,
1949-03-01,0.0,,,0.0,
1949-04-01,0.0004181476121978278,,,-0.011257154524634494,
1949-05-01,-0.0004181476121978278,,,-0.0075757938084577425,
1949-06-01,0.0004181476121978278,,,-0.01147240116223669,
1949-07-01,-0.009239880941345646,,,0.0,
1949-08-01,0.0,,,0.0,
1949-09-01,0.0021074823395648146,,,0.00383877630716567,
1949-10-01,-0.003374106954757927,,,-0.00383877630716567,
1949-11-01,0.0012666246151931126,,,0.0,
1949-12-01,-0.0038046970436642624,,,-0.003853569315990235,
1950-01-01,-0.004244488545443126,,,0.0,
1950-02-01,0.004244488545443126,,,0.007692345623155905,
1950-03-01,0.0012698414404761493,,,0.0,
1950-04-01,0.00042292240004426773,,,0.0,
1950-05-01,0.005061166434160658,,,0.011428695823622714,
1950-06-01,0.0046170071522988465,,,0.007547205635383136,
1950-07-01,0.007924963270579344,,,0.02597548640326064,
1950-08-01,0.005386381367660231,,,0.02173998663640564,
1950-09-01,0.005768454396740452,,,0.017762456339840416,
1950-10-01,0.006552029991300223,,,0.007017572658646554,
1950-11-01,0.004073325387635496,,,0.013889112160667239,
1950-12-01,0.015329061759114637,,,0.02385121582217975,
1951-01-01,0.01588595758880995,,,0.026579637804712064,
1951-02-01,0.01757514482150757,,,0.013029500290333562,
1951-03-01,0.001933862524950758,,,0.0,
1951-04-01,0.0015444018513739444,,,-0.003241493924170502,
1951-05-01,0.0026969771693248212,,,-0.0032520353863776386,
1951-06-01,-0.002311249102825652,,,-0.0065359709797854215,
1951-07-01,-0.0007716049765544852,,,-0.006578971098042619,
1951-08-01,-0.0019316212303071012,,,-0.006622540760493401,
1951-09-01,0.0065523456627625265,,,0.0,
1951-10-01,0.004981807582523867,,,0.0,
1951-11-01,0.00609757986811843,,,0.0,
1951-12-01,0.005682909781893564,,,0.0,
1952-01-01,-0.0007558579347013428,,,-0.0033277900926744763,
1952-02-01,-0.0015134319952676556,,,-0.006688988150796771,
1952-03-01,-0.0007575757938083072,,,0.0,
1952-04-01,0.002649008171577094,,,-0.006734032181344052,
1952-05-01,0.00037785755220021144,,,0.0,
1952-06-01,0.0022641519106385566,,,-0.0033840979842403307,
1952-07-01,0.005638052897774415,,,0.0033840979842403307,
1952-08-01,0.00037474236901013924,,,0.006734032181344052,
1952-09-01,-0.0022505635905920585,,,-0.006734032181344052,
1952-10-01,0.0022505635905920585,,,-0.0033840979842403307,
1952-11-01,0.0,,,-0.006802747322752545,
1952-12-01,0.0007490637054363702,,,-0.006849341845574841,
1953-01-01,-0.002624181449681018,,,0.0,
1953-02-01,-0.0018786404172597138,,,0.0,
1953-03-01,0.001503194570912303,,,0.0034305350967889225,
1953-04-01,0.0022505635905920585,,,-0.006872879287761702,
1953-05-01,0.0003746019897707953,,,0.003442344190972779,
1953-06-01,0.0026182921260575753,,,-0.003442344190972779,
1953-07-01,0.0007468260242560198,,,0.013698844358161821,
1953-08-01,0.0022371373983562926,,,-0.003407158321614201,
1953-09-01,0.0014886493258998712,,,0.003407158321614201,
1953-10-01,0.0022288270742327754,,,-0.00682596507040012,
1953-11-01,-0.0037174764001326466,,,-0.0034305350967889225,
1953-12-01,0.0007446016725261018,,,0.0034305350967889225,
1954-01-01,0.0026017483548184117,,,0.00682596507040012,
1954-02-01,0.0018542560476952907,,,-0.003407158321614201,
1954-03-01,-0.0022255202064060953,,,0.0,
1954-04-01,-0.002602715728415639,,,0.003407158321614201,
1954-05-01,0.002602715728415639,,,0.0,
1954-06-01,0.00037126415871080454,,,-0.00682596507040012,
1954-07-01,-0.0029739798871264433,,,0.0034188067487859186,
1954-08-01,-0.00037237014021807013,,,0.0,
1954-09-01,-0.0014908687070058768,,,-0.0034188067487859186,
1954-10-01,-0.0033626035794229736,,,-0.0034305350967889225,
1954-11-01,0.0022429915945818557,,,0.0034305350967889225,
1954-12-01,-0.0003734827307653177,,,-0.006872879287761702,
1955-01-01,0.0,,,0.006872879287761702,
1955-02-01,0.0018660203212710336,,,0.0034188067487859186,
1955-03-01,-0.0011191942970150137,,,-0.0034188067487859186,
1955-04-01,0.0,,,0.0034188067487859186,
